Freq.	V(vout)
1.34896288259165e+002	2.00996349058717e+000,-5.36089396720546e-004
1.38038426460288e+002	2.00996348647633e+000,-5.48576522340613e-004
1.41253754462275e+002	2.00996348217175e+000,-5.61354510441420e-004
1.44543977074592e+002	2.00996347766430e+000,-5.74430136077443e-004
1.47910838816820e+002	2.00996347294443e+000,-5.87810332114606e-004
1.51356124843620e+002	2.00996346800211e+000,-6.01502192905479e-004
1.54881661891247e+002	2.00996346282687e+000,-6.15512978051335e-004
1.58489319246110e+002	2.00996345740773e+000,-6.29850116250906e-004
1.62181009735892e+002	2.00996345173319e+000,-6.44521209239356e-004
1.65958690743755e+002	2.00996344579122e+000,-6.59534035818638e-004
1.69824365246173e+002	2.00996343956921e+000,-6.74896555982025e-004
1.73780082874936e+002	2.00996343305397e+000,-6.90616915134430e-004
1.77827941003891e+002	2.00996342623167e+000,-7.06703448411346e-004
1.81970085860997e+002	2.00996341908785e+000,-7.23164685098223e-004
1.86208713666286e+002	2.00996341160735e+000,-7.40009353152544e-004
1.90546071796323e+002	2.00996340377431e+000,-7.57246383831545e-004
