Freq.	V(vout)
2.45470891568502e+001	2.03025631938088e+000,-9.96456325231261e-005
2.51188643150957e+001	2.03025631925814e+000,-1.01966677470220e-004
2.57039578276885e+001	2.03025631912962e+000,-1.04341786499243e-004
2.63026799189537e+001	2.03025631899503e+000,-1.06772218924370e-004
2.69153480392690e+001	2.03025631885411e+000,-1.09259263393070e-004
2.75422870333815e+001	2.03025631870654e+000,-1.11804238569173e-004
2.81838293126444e+001	2.03025631855201e+000,-1.14408493832221e-004
2.88403150312659e+001	2.03025631839021e+000,-1.17073409992804e-004
2.95120922666637e+001	2.03025631822078e+000,-1.19800400024737e-004
3.01995172040200e+001	2.03025631804336e+000,-1.22590909814197e-004
3.09029543251358e+001	2.03025631785759e+000,-1.25446418926336e-004
3.16227766016837e+001	2.03025631766305e+000,-1.28368441389951e-004
3.23593656929627e+001	2.03025631745935e+000,-1.31358526499989e-004
3.31131121482590e+001	2.03025631724606e+000,-1.34418259639009e-004
3.38844156139201e+001	2.03025631702269e+000,-1.37549263118173e-004
3.46736850452530e+001	2.03025631678881e+000,-1.40753197036808e-004
3.54813389233574e+001	2.03025631654392e+000,-1.44031760163104e-004
3.63078054770100e+001	2.03025631628747e+000,-1.47386690834575e-004
3.71535229097171e+001	2.03025631601894e+000,-1.50819767879860e-004
3.80189396320559e+001	2.03025631573776e+000,-1.54332811561722e-004
3.89045144994279e+001	2.03025631544332e+000,-1.57927684542529e-004
3.98107170553495e+001	2.03025631513500e+000,-1.61606292871320e-004
4.07380277804111e+001	2.03025631481216e+000,-1.65370586994902e-004
4.16869383470333e+001	2.03025631447410e+000,-1.69222562791888e-004
4.26579518801591e+001	2.03025631412010e+000,-1.73164262630724e-004
4.36515832240164e+001	2.03025631374943e+000,-1.77197776452733e-004
4.46683592150961e+001	2.03025631336128e+000,-1.81325242880296e-004
4.57088189614873e+001	2.03025631295485e+000,-1.85548850350652e-004
4.67735141287196e+001	2.03025631252926e+000,-1.89870838276324e-004
4.78630092322636e+001	2.03025631208361e+000,-1.94293498232438e-004
4.89778819368444e+001	2.03025631161696e+000,-1.98819175171782e-004
5.01187233627270e+001	2.03025631112831e+000,-2.03450268668045e-004
5.12861383991362e+001	2.03025631061664e+000,-2.08189234188208e-004
5.24807460249770e+001	2.03025631008085e+000,-2.13038584394378e-004
5.37031796370250e+001	2.03025630951982e+000,-2.18000890476104e-004
5.49540873857622e+001	2.03025630893234e+000,-2.23078783513719e-004
5.62341325190346e+001	2.03025630831717e+000,-2.28274955873137e-004
5.75439937337154e+001	2.03025630767301e+000,-2.33592162633501e-004
5.88843655355586e+001	2.03025630699850e+000,-2.39033223048165e-004
6.02559586074355e+001	2.03025630629219e+000,-2.44601022039184e-004
6.16595001861479e+001	2.03025630555260e+000,-2.50298511727081e-004
6.30957344480190e+001	2.03025630477815e+000,-2.56128712996102e-004
6.45654229034652e+001	2.03025630396719e+000,-2.62094717096109e-004
6.60693448007593e+001	2.03025630311803e+000,-2.68199687280915e-004
6.76082975391978e+001	2.03025630222885e+000,-2.74446860486430e-004
6.91830970918933e+001	2.03025630129775e+000,-2.80839549046416e-004
7.07945784384134e+001	2.03025630032278e+000,-2.87381142448605e-004
7.24435960074986e+001	2.03025629930186e+000,-2.94075109132057e-004
7.41310241300914e+001	2.03025629823282e+000,-3.00924998326341e-004
7.58577575029180e+001	2.03025629711340e+000,-3.07934441933002e-004
7.76247116628688e+001	2.03025629594122e+000,-3.15107156451509e-004
7.94328234724277e+001	2.03025629471380e+000,-3.22446944949463e-004
8.12830516164095e+001	2.03025629342853e+000,-3.29957699079726e-004
8.31763771102667e+001	2.03025629208269e+000,-3.37643401142955e-004
8.51138038202372e+001	2.03025629067343e+000,-3.45508126199646e-004
8.70963589956076e+001	2.03025628919775e+000,-3.53556044230677e-004
8.91250938133741e+001	2.03025628765252e+000,-3.61791422348170e-004
9.12010839355905e+001	2.03025628603447e+000,-3.70218627058113e-004
9.33254300796986e+001	2.03025628434016e+000,-3.78842126575244e-004
9.54992586021431e+001	2.03025628256600e+000,-3.87666493192495e-004
9.77237220955805e+001	2.03025628070822e+000,-3.96696405705267e-004
