Freq.	V(vout1)	V(vout2)
4.57088189614874e+000	-1.92553494996365e+000,5.25277133796199e-003	-1.99999998752458e+000,1.57958337853744e-004
4.67735141287197e+000	-1.92553343546963e+000,5.37511456466613e-003	-1.99999998693663e+000,1.61637660150535e-004
4.78630092322637e+000	-1.92553184956962e+000,5.50030684906605e-003	-1.99999998632098e+000,1.65402684869785e-004
4.89778819368445e+000	-1.92553018894423e+000,5.62841450571639e-003	-1.99999998567630e+000,1.69255408277115e-004
5.01187233627271e+000	-1.92552845009241e+000,5.75950539022882e-003	-1.99999998500125e+000,1.73197873137131e-004
5.12861383991364e+000	-1.92552662924517e+000,5.89364893442911e-003	-1.99999998429438e+000,1.77232169796517e-004
5.24807460249771e+000	-1.92552472264060e+000,6.03091618450122e-003	-1.99999998355420e+000,1.81360437292369e-004
5.37031796370252e+000	-1.92552272616088e+000,6.17137983615503e-003	-1.99999998277913e+000,1.85584864486334e-004
5.49540873857623e+000	-1.92552063560206e+000,6.31511427444915e-003	-1.99999998196753e+000,1.89907691225175e-004
5.62341325190348e+000	-1.92551844653482e+000,6.46219561200869e-003	-1.99999998111769e+000,1.94331209528363e-004
5.75439937337156e+000	-1.92551615432647e+000,6.61270172911013e-003	-1.99999998022779e+000,1.98857764803335e-004
5.88843655355588e+000	-1.92551375407548e+000,6.76671231409550e-003	-1.99999997929596e+000,2.03489757089058e-004
6.02559586074356e+000	-1.92551124073494e+000,6.92430890600180e-003	-1.99999997832021e+000,2.08229642328556e-004
6.16595001861481e+000	-1.92550860893743e+000,7.08557493609567e-003	-1.99999997729847e+000,2.13079933671083e-004
6.30957344480192e+000	-1.92550585317672e+000,7.25059577286694e-003	-1.99999997622858e+000,2.18043202804626e-004
6.45654229034654e+000	-1.92550296753062e+000,7.41945876470988e-003	-1.99999997510827e+000,2.23122081319442e-004
6.60693448007594e+000	-1.92549994588351e+000,7.59225328723410e-003	-1.99999997393516e+000,2.28319262103360e-004
6.76082975391980e+000	-1.92549678190873e+000,7.76907078993476e-003	-1.99999997270676e+000,2.33637500769581e-004
6.91830970918935e+000	-1.92549346883361e+000,7.95000484213370e-003	-1.99999997142047e+000,2.39079617117738e-004
