Freq.	V(vout1)	V(vout2)
1.73780082874936e+002	-1.48832367363519e+000,1.07801287909031e-002	-1.99998196769667e+000,6.00535440302708e-003
1.77827941003891e+002	-1.48829562992941e+000,1.07068441465331e-002	-1.99998111786841e+000,6.14523446555840e-003
1.81970085860997e+002	-1.48826879145193e+000,1.06390260883437e-002	-1.99998022798977e+000,6.28837256655618e-003
1.86208713666286e+002	-1.48824310364389e+000,1.05766524919529e-002	-1.99997929617328e+000,6.43484458212930e-003
1.90546071796323e+002	-1.48821851413208e+000,1.05197032149815e-002	-1.99997832044256e+000,6.58472815481311e-003
1.94984459975803e+002	-1.48819497277476e+000,1.04681601468489e-002	-1.99997729872809e+000,6.73810273464644e-003
1.99526231496887e+002	-1.48817243133796e+000,1.04220072501621e-002	-1.99997622886283e+000,6.89504962120060e-003
2.04173794466952e+002	-1.48815084367388e+000,1.03812306063565e-002	-1.99997510857759e+000,7.05565200658206e-003
2.08929613085403e+002	-1.48813016549722e+000,1.03458184550209e-002	-1.99997393549628e+000,7.21999501943127e-003
2.13796208950222e+002	-1.48811035433353e+000,1.03157612321753e-002	-1.99997270713083e+000,7.38816576994024e-003
2.18776162394954e+002	-1.48809136932569e+000,1.02910516056439e-002	-1.99997142087591e+000,7.56025339591236e-003
2.23872113856832e+002	-1.48807317140584e+000,1.02716845140120e-002	-1.99997007400344e+000,7.73634910988813e-003
2.29086765276776e+002	-1.48805572300482e+000,1.02576571973713e-002	-1.99996866365677e+000,7.91654624736119e-003
2.34422881531991e+002	-1.48803898800308e+000,1.02489692307966e-002	-1.99996718684465e+000,8.10094031610961e-003
2.39883291901947e+002	-1.48802293181239e+000,1.02456225581445e-002	-1.99996564043484e+000,8.28962904666768e-003
2.45470891568501e+002	-1.48800752112115e+000,1.02476215206704e-002	-1.99996402114756e+000,8.48271244396426e-003
2.51188643150956e+002	-1.48799272398646e+000,1.02549728896326e-002	-1.99996232554842e+000,8.68029284015423e-003
2.57039578276885e+002	-1.48797850972324e+000,1.02676858952078e-002	-1.99996055004124e+000,8.88247494867006e-003
2.63026799189536e+002	-1.48796484871564e+000,1.02857722550329e-002	-1.99995869086037e+000,9.08936591952127e-003
2.69153480392690e+002	-1.48795171255173e+000,1.03092462052402e-002	-1.99995674406270e+000,9.30107539586987e-003
